,_id,mid,msg_type,cont,nfwd,sname,uid,r_mid,r_uid,pt,nlike
30,5fe6a46ff13f3f5117ba9e4b,1341228818359595008,1,Mitch McConnell Successfully Blocked Mandatory Paid Leave For Workers With COVID https://t.co/VZ0LKCMkob via @pdmcleod,0,davidmackau,304932002,,,1608608843000,-1
31,5fe942e7f13f3f5117187002,1341457592955133952,1,"“There are numbers so large after which it is impossible to keep on grieving.” So true, but grief does pour into… https://t.co/xuUzoeXhE5",0,jack2ber,15570631,,,1608663387000,-1
32,5fe8fb26f13f3f5117fc3faa,1341506715460587522,1,I rarely tweet content requiring warnings. CW: This contains race-based trauma in a medical setting and stories of… https://t.co/JtAnZbccZr,0,nmsanchez,15813127,,,1608675099000,-1
33,5fea7339f13f3f511735ed8a,1341519834761232385,1,https://t.co/nqss2GhIlB https://t.co/Bg6K14ye4N,0,bborrman,47454782,,,1608678227000,-1
34,5fea678df13f3f5117319265,1341545858278576128,1,"One of my defining memories of Donald Trump was when I attended one of his campaign rallies in Richmond, Virginia a… https://t.co/OuwtOvCqBz",0,WilliamTurton,99012883,,,1608684431000,-1
35,5febe170f13f3f51176e99ce,1341889893245612034,1,Democrats Are Telling Georgians To Dump Their Republican Senators If They Want More Aid https://t.co/tFSqFnspZU via @RyanBrooks,0,HenryJGomez,14340977,,,1608766456000,-1
36,60086bd4d3af15d6b3ebda18,1348716955818225664,1,"Dem Rep. Bonnie Watson Coleman tested positive for COVID-19, adding that she believes she was exposed to the virus… https://t.co/k4fAF93UZ1",0,TomNamako,160951141,,,1610394154000,-1
37,600905f5d3af15d6b3fb9611,1348802649164967938,1,Absolutely eye popping number of confirmed COVID cases — 203– at the Fashion Nova distribution center in Santa Fe S… https://t.co/qUG6mISCjh,0,annamerlan,112017297,,,1610414585000,-1
38,6025ff99e5ec2aea15b15d9b,1357809297791459330,1,"Donald Trump was looking to join Parler. Before he joined, however, the Trump Organization wanted a stake in the co… https://t.co/dGPe9f7AEd",0,RMac18,47191293,,,1612561938000,-1
39,6026010be5ec2aea15b21b21,1357816313461288962,1,Donald Trump’s Business Sought A Stake In Parler Before He Would Join.  https://t.co/yKwIxThbmr,0,maggieNYT,93069110,,,1612563610000,-1
40,60260012e5ec2aea15b1a1aa,1357851229880160257,1,🔥 SCOOP by @RMac18 & @RosieGray: Parler Wanted Donald Trump On Its Site. Trump’s Company Wanted A Stake. https://t.co/2Pdxo3ejh5,0,JasonLeopold,17094311,,,1612571935000,-1
41,6027411ae5ec2aea15cc7302,1357862127185235974,1,This is hilarious.,0,mmasnick,1270191,,,1612574533000,-1
42,608708fbdfe1d34b1d3c2512,1385062672782307329,1,"“If you spoke to any young Vietnamese American now, they’ll probably talk about how horrified they are about what t… https://t.co/zsdmprc2gV",0,millie,23803,,,1619059649000,-1
